rho,root,equilibrium
0.539,r1,0.8480844748143916
0.539,r2,1.5513732917897132
0.539,r3,7.600542233395895
0.54,r1,0.8543264075516251
0.54,r2,1.5387457772764115
0.54,r3,7.606927815171963
0.5409999999999999,r1,0.8607684494905278
0.5409999999999999,r2,1.5259564398780663
0.5409999999999999,r3,7.613275110631406
0.542,r1,0.8674277021183695
0.542,r2,1.5129877857039264
0.542,r3,7.6195845121777035
0.5429999999999999,r1,0.8743237773219603
0.5429999999999999,r2,1.4998198165182455
0.5429999999999999,r3,7.625856406159794
0.544,r1,0.8814793416670719
0.544,r2,1.4864294853321456
0.544,r3,7.632091173000782
0.5449999999999999,r1,0.8889208220191563
0.5449999999999999,r2,1.4727899906577322
0.5449999999999999,r3,7.638289187323112
0.546,r1,0.8966793350263725
0.546,r2,1.4588698469032768
0.546,r3,7.644450818070351
0.5469999999999999,r1,0.9047919337832355
0.5469999999999999,r2,1.4446316375911006
0.5469999999999999,r3,7.650576428625664
0.548,r1,0.9133033147356848
0.548,r2,1.4300303083371897
0.548,r3,7.656666376927127
0.5489999999999999,r1,0.9222682109723429
0.5489999999999999,r2,1.4150107734477149
0.5489999999999999,r3,7.662721015579942
0.55,r1,0.9317548423071185
0.55,r2,1.3995044657271825
0.55,r3,7.668740691965698
0.5509999999999999,r1,0.9418500546695151
0.5509999999999999,r2,1.3834241969817618
0.5509999999999999,r3,7.674725748348723
0.552,r1,0.952667283901965
0.552,r2,1.3666561941183626
0.552,r3,7.680676521979671
0.5529999999999999,r1,0.9643595075788657
0.5529999999999999,r2,1.3490471472247232
0.5529999999999999,r3,7.686593345196411
0.554,r1,0.9771416298318111
0.554,r2,1.330381824645902
0.554,r3,7.692476545522286
0.5549999999999999,r1,0.9913323519331173
0.5549999999999999,r2,1.3103412023050138
0.5549999999999999,r3,7.698326445761868
0.556,r1,1.0074413833581035
0.556,r2,1.2884152525476544
0.556,r3,7.704143364094242
0.5569999999999999,r1,1.0263818856569262
0.5569999999999999,r2,1.2636905001791472
0.5569999999999999,r3,7.709927614163927
0.558,r1,1.0501390402237156
0.558,r2,1.2341814546067844
0.558,r3,7.715679505169501
0.5589999999999999,r1,1.0854189331541422
0.5589999999999999,r2,1.193181724895847
0.5589999999999999,r3,7.721399341950012
0.56,r3,7.727087425069167
0.5609999999999999,r3,7.7327440508975345
0.562,r3,7.73836951169262
0.563,r3,7.743964095677024
0.5640000000000001,r3,7.749528087114683
0.565,r3,7.755061766385258
0.5660000000000001,r3,7.760565410056721
0.567,r3,7.766039290956208
0.5680000000000001,r3,7.771483678239166
0.569,r3,7.776898837456887
0.5700000000000001,r3,7.782285030622408
0.571,r3,7.787642516274887
0.5720000000000001,r3,7.792971549542487
0.573,r3,7.798272382203754
0.5740000000000001,r3,7.803545262747632
0.575,r3,7.808790436432053
0.5760000000000001,r3,7.814008145341222
0.577,r3,7.819198628441568
0.5780000000000001,r3,7.824362121636449
0.579,r3,7.829498857819624
0.5800000000000001,r3,7.8346090669275235
0.581,r3,7.839692975990351
0.5820000000000001,r3,7.844750809182063
0.583,r3,7.8497827878692394
0.5840000000000001,r3,7.854789130658885
0.585,r3,7.859770053445182
0.5860000000000001,r3,7.864725769455233
0.587,r3,7.86965648929382
0.5880000000000001,r3,7.87456242098719
0.589,r3,7.879443770025907
0.59,r3,7.884300739406802
0.591,r3,7.88913352967401
0.592,r3,7.893942338959178
0.593,r3,7.898727363020794
0.594,r3,7.9034887952827155
0.595,r3,7.908226826871889
0.596,r3,7.912941646655299
0.597,r3,7.917633441276145
0.598,r3,7.922302395189277
0.599,r3,7.926948690695925
0.6,r3,7.931572507977702
